project,year,code_klloc_sum,effective_klloc_sum,code_klloc_median,effective_klloc_median,code_klloc_mean,effective_klloc_mean,issues_created,issues_fixed
commons-lang,2016,5206.557000000001,5206.557000000001,26.5885,26.5885,26.564066326530615,26.564066326530615,49,20
commons-lang,2017,5236.592000000001,5236.592000000001,27.268,27.268,27.27391666666667,27.27391666666667,32,14
commons-math,2007,4613.96,2753.474,24.137,15.38,24.673582887700533,14.803623655913979,5,3
commons-math,2008,6335.935,4263.029,25.367,16.485,26.961425531914895,18.140548936170216,23,16
commons-math,2009,27941.16,21585.44,46.841,36.137,44.705856,34.536704,47,40
commons-math,2010,19914.376,18519.150999999998,45.951499999999996,42.039,45.675174311926604,42.47511697247706,67,50
commons-math,2011,53461.56,53325.56,52.195,52.059,53.46156,53.325559999999996,108,80
commons-math,2012,65930.04000000001,65908.28,64.705,64.705,66.39480362537765,66.37289023162135,69,56
commons-math,2013,43427.632000000005,43343.856,82.602,82.602,82.87716030534352,82.71728244274809,56,51
commons-math,2014,32104.203999999998,31444.117000000002,92.674,90.702,92.78671676300577,90.87895086705203,61,45
commons-math,2015,30816.297,29863.057,87.773,84.651,89.06444219653179,86.3094132947977,66,47
commons-math,2016,17447.535000000007,16816.763999999996,91.842,88.557,91.82913157894741,88.50928421052629,30,7
commons-math,2017,7646.352,7358.637999999999,91.444,88.019,91.02799999999999,87.60283333333332,20,5
commons-net,2009,99.06299999999999,92.399,14.151,13.199,14.151857142857141,13.199857142857143,32,2
commons-net,2010,976.3299999999999,954.434,14.774,14.774,14.572089552238804,14.245283582089552,29,6
commons-net,2011,7125.446,7125.446,16.133,16.133,16.418078341013825,16.418078341013825,50,38
commons-net,2012,3116.246,3116.246,18.007,18.007,18.012982658959537,18.012982658959537,40,25
commons-net,2013,1645.527,1645.527,18.442,18.442,18.489067415730336,18.489067415730336,23,15
commons-net,2014,2861.7070000000003,2861.7070000000003,19.115,19.115,19.07804666666667,19.07804666666667,29,12
commons-net,2015,1898.963,1898.963,19.519,19.519,19.576938144329898,19.576938144329898,16,8
commons-net,2016,1271.2649999999999,1271.2649999999999,19.884,19.884,19.863515624999998,19.863515624999998,16,4
commons-net,2017,1748.427,1748.427,20.058,20.058,20.096862068965518,20.096862068965518,22,15
commons-rdf,2015,76.446,74.561,0.685,0.685,0.670578947368421,0.6540438596491228,3,1
commons-rdf,2016,174.781,165.781,2.797,2.651,3.0663333333333336,2.9084385964912283,4,3
commons-rdf,2017,259.433,245.59000000000003,5.208,4.929,5.18866,4.9118,10,4
commons-scxml,2006,1143.3760000000002,798.3220000000001,4.801,5.438,4.804100840336135,5.252118421052632,17,8
commons-scxml,2007,815.1600000000001,805.9200000000001,6.893,6.816,6.793000000000001,6.716,18,9
commons-scxml,2008,788.6159999999998,780.146,7.132,7.055,7.169236363636362,7.0922363636363634,25,17
commons-scxml,2009,169.84499999999994,168.07399999999993,7.396,7.319,7.384565217391302,7.307565217391301,5,4
commons-scxml,2010,118.528,117.296,7.408,7.331,7.408,7.331,3,0
commons-scxml,2011,74.08,73.31,7.408,7.331,7.4079999999999995,7.331,2,1
commons-scxml,2012,7.408,7.331,7.408,7.331,7.408,7.331,3,0
commons-scxml,2013,334.115,331.629,8.095,8.036,8.352875000000001,8.290725,4,7
commons-scxml,2014,1033.0810000000001,1038.9779999999998,8.5465,8.576,8.609008333333334,8.65815,12,9
commons-scxml,2015,324.81399999999996,329.084,9.326,9.448,9.280399999999998,9.4024,8,7
commons-scxml,2016,116.39700000000002,117.98300000000002,8.953,9.075,8.953615384615386,9.075615384615386,1,2
commons-scxml,2017,316.19100000000003,320.31499999999994,9.305,9.425999999999998,9.299735294117648,9.421029411764705,6,4
commons-validator,2007,549.9219999999999,522.4370000000001,5.142,5.171,5.139457943925233,4.975590476190478,8,5
commons-validator,2008,80.13,77.56500000000001,5.342,5.171,5.342,5.171000000000001,9,0
commons-validator,2009,10.684,10.342,5.342,5.171,5.342,5.171,6,0
commons-validator,2010,103.96900000000001,100.71999999999998,5.471,5.3,5.472052631578948,5.301052631578947,6,0
commons-validator,2011,302.47999999999996,293.075,5.518,5.347,5.4996363636363625,5.328636363636363,9,9
commons-validator,2012,389.54799999999994,377.57800000000003,5.579,5.408,5.564971428571428,5.393971428571429,7,0
