project,year,code_klloc,effective_klloc,issues_created,issues_fixed
commons-jexl,2008,7.94864705882353,7.890647058823529,6,0
commons-jexl,2009,5.171540983606557,5.1214180327868855,14,1
commons-jexl,2010,5.443754098360657,5.284754098360656,7,6
commons-jexl,2011,6.818444444444445,6.672063492063493,7,5
commons-jexl,2012,8.47020512820513,8.47020512820513,11,6
commons-jexl,2013,8.784666666666666,8.784666666666666,2,4
commons-jexl,2014,9.297833333333333,9.297833333333333,3,2
commons-jexl,2015,10.522929292929293,10.522929292929293,21,11
commons-jexl,2016,11.152016129032258,11.152016129032258,19,17
commons-jexl,2017,11.460666666666665,11.460666666666665,10,6
commons-lang,2003,11.649091085271317,,64,2
commons-lang,2004,13.504144981412637,,36,0
commons-lang,2005,15.56175367647059,,33,1
commons-lang,2006,17.465021739130435,16.94476470588235,32,22
commons-lang,2007,18.074215053763442,17.25721505376344,32,19
commons-lang,2008,19.111062068965513,18.29406206896552,32,18
commons-lang,2009,18.263718987341772,17.44671898734177,23,20
commons-lang,2010,18.708287009063444,17.900024390243903,39,27
commons-lang,2011,19.20584259259259,19.18566975308642,43,36
commons-lang,2012,20.66600483091788,20.66600483091788,39,24
commons-lang,2013,22.10523651452282,22.10523651452282,32,19
commons-lang,2014,23.323727513227514,23.323727513227514,56,33
commons-lang,2015,24.500175531914902,24.500175531914902,51,23
commons-lang,2016,26.564066326530615,26.564066326530615,49,20
commons-lang,2017,27.27391666666667,27.27391666666667,32,14
commons-math,2007,24.673582887700533,14.803623655913979,5,3
commons-math,2008,26.961425531914895,18.140548936170216,23,16
commons-math,2009,44.705856,34.536704,47,40
commons-math,2010,45.675174311926604,42.47511697247706,67,50
commons-math,2011,53.46156,53.325559999999996,108,80
commons-math,2012,66.39480362537765,66.37289023162135,69,56
commons-math,2013,82.87716030534352,82.71728244274809,56,51
commons-math,2014,92.78671676300577,90.87895086705203,61,45
commons-math,2015,89.06444219653179,86.3094132947977,66,47
commons-math,2016,91.82913157894741,88.50928421052629,30,7
commons-math,2017,91.02799999999999,87.60283333333332,20,5
commons-net,2009,14.151857142857141,13.199857142857143,32,2
commons-net,2010,14.572089552238804,14.245283582089552,29,6
commons-net,2011,16.418078341013825,16.418078341013825,50,38
commons-net,2012,18.012982658959537,18.012982658959537,40,25
commons-net,2013,18.489067415730336,18.489067415730336,23,15
commons-net,2014,19.07804666666667,19.07804666666667,29,12
commons-net,2015,19.576938144329898,19.576938144329898,16,8
commons-net,2016,19.863515624999998,19.863515624999998,16,4
commons-net,2017,20.096862068965518,20.096862068965518,22,15
commons-rdf,2015,0.670578947368421,0.6540438596491228,3,1
commons-rdf,2016,3.0663333333333336,2.9084385964912283,4,3
commons-rdf,2017,5.18866,4.9118,10,4
commons-scxml,2006,4.804100840336135,5.252118421052632,17,8
commons-scxml,2007,6.793000000000001,6.716,18,9
commons-scxml,2008,7.169236363636362,7.0922363636363634,25,17
commons-scxml,2009,7.384565217391302,7.307565217391301,5,4
commons-scxml,2010,7.408,7.331,3,0
commons-scxml,2011,7.4079999999999995,7.331,2,1
commons-scxml,2012,7.408,7.331,3,0
commons-scxml,2013,8.352875000000001,8.290725,4,7
commons-scxml,2014,8.609008333333334,8.65815,12,9
commons-scxml,2015,9.280399999999998,9.4024,8,7
commons-scxml,2016,8.953615384615386,9.075615384615386,1,2
commons-scxml,2017,9.299735294117648,9.421029411764705,6,4
commons-validator,2007,5.139457943925233,4.975590476190478,8,5
commons-validator,2008,5.342,5.171000000000001,9,0
commons-validator,2009,5.342,5.171,6,0
commons-validator,2010,5.472052631578948,5.301052631578947,6,0
commons-validator,2011,5.4996363636363625,5.328636363636363,9,9
commons-validator,2012,5.564971428571428,5.393971428571429,7,0
commons-validator,2013,5.57981818181818,5.408818181818182,10,0
commons-validator,2014,5.920843137254903,5.7498431372549,15,6
commons-validator,2015,6.37938829787234,6.2094095744680855,28,32
commons-validator,2016,7.1367254901960795,6.967725490196078,16,7
commons-validator,2017,7.541435483870969,7.372435483870966,14,7
commons-vfs,2007,22.99013559322034,22.99013559322034,43,17
commons-vfs,2008,23.28604347826087,23.28604347826087,32,3
commons-vfs,2009,23.84227777777778,23.84227777777778,40,19
commons-vfs,2010,25.141665,25.141665,44,11
commons-vfs,2011,24.405459627329193,23.24924844720497,28,9
commons-vfs,2012,22.546328402366864,20.98589349112426,29,26
commons-vfs,2013,23.703593103448277,22.147593103448276,35,12
commons-vfs,2014,23.7432972972973,22.1872972972973,28,14
commons-vfs,2015,23.980483516483513,22.41369230769231,26,16
commons-vfs,2016,24.25232,22.68232,23,3
commons-vfs,2017,22.253895833333335,20.46724647887324,10,5
eagle,2016,65.35947349823321,65.36869787985867,270,149
eagle,2017,82.16198742138363,82.58421383647797,93,35
falcon,2014,27.132446555819474,21.429349168646084,362,229
falcon,2015,41.46705311778291,29.337152424942264,361,224
falcon,2016,62.39929754601228,45.304674846625765,264,184
falcon,2017,70.05048936170215,52.88048936170213,57,34
flume,2012,21.730431707317074,21.72906585365854,459,211
flume,2013,37.325227722772276,37.325227722772276,245,122
flume,2014,41.651525925925924,41.316037037037034,185,78
flume,2015,45.17465333333334,44.43866666666667,154,45
flume,2016,46.95690425531915,46.99552127659575,84,35
flume,2017,48.297456140350874,48.41845614035088,104,24
giraph,2013,36.293646153846154,36.293646153846154,196,117
giraph,2014,52.81247107438017,52.56123140495868,78,51
giraph,2015,68.86446774193548,62.306145161290324,15,12
giraph,2016,78.765578313253,70.27197590361445,35,21
giraph,2017,82.58122222222222,71.66102777777778,20,9
gora,2011,9.326310344827585,8.135565217391305,15,10
gora,2012,10.608150684931507,9.924746575342466,39,23
gora,2013,14.459958333333333,13.047833333333335,30,13
gora,2014,18.051217948717948,14.322743589743586,50,13
gora,2015,20.34013333333333,16.231733333333334,17,3
gora,2016,22.385865384615386,18.99248076923077,23,8
gora,2017,26.5522,22.384999999999998,9,1
helix,2012,35.60942083333334,35.499643750000004,12,7
helix,2013,41.900834645669285,41.85680314960629,108,27
helix,2014,37.94202083333334,37.94202083333334,99,37
helix,2015,39.28261764705882,39.28261764705882,38,13
helix,2016,42.155734177215194,42.155734177215194,20,15
helix,2017,46.22830147058823,46.22830147058823,6,3
httpcomponents-client,2006,1.257706896551724,,44,1
httpcomponents-client,2007,7.910688829787234,8.278949152542374,59,12
httpcomponents-client,2008,12.120723776223777,10.86260839160839,44,25
httpcomponents-client,2009,14.46415625,12.880785714285716,50,23
httpcomponents-client,2010,19.710791044776123,17.43716119402985,73,40
httpcomponents-client,2011,23.752071428571426,21.19806746031746,72,25
httpcomponents-client,2012,28.38357142857143,26.32602777777778,89,48
httpcomponents-client,2013,34.02131399317406,32.56380204778157,102,72
httpcomponents-client,2014,36.875073482428114,35.586408945686905,98,39
httpcomponents-client,2015,31.54425,30.330764705882356,89,32
httpcomponents-client,2016,25.53131313131313,24.379101010101014,62,15
httpcomponents-client,2017,32.02813714285715,30.087519999999998,43,13
httpcomponents-core,2008,19.512469696969696,15.64069696969697,28,22
httpcomponents-core,2009,20.71768656716418,16.382208955223884,15,12
httpcomponents-core,2010,23.062630057803464,17.249231213872832,19,15
httpcomponents-core,2011,25.816434977578474,20.390780269058297,23,17
httpcomponents-core,2012,28.777309644670055,25.565218274111682,23,20
httpcomponents-core,2013,29.63389417989418,27.974264550264557,24,16
httpcomponents-core,2014,30.599437869822488,28.912958579881657,7,5
httpcomponents-core,2015,24.634103999999994,22.90600799999999,13,6
httpcomponents-core,2016,31.202818181818184,29.611493506493506,17,10
httpcomponents-core,2017,37.31001204819277,35.42453413654618,28,8
jena,2013,248.18582991202348,232.79384164222876,158,92
jena,2014,268.9242450805009,264.3002933810376,114,50
jena,2015,293.1675902578797,289.3409914040115,141,26
jena,2016,295.49857142857144,292.20907936507933,100,6
jena,2017,311.2837936507938,308.02402380952395,92,15
jspwiki,2009,64.95229032258065,,87,29
jspwiki,2010,69.35152586206897,,36,9
jspwiki,2011,69.26092592592593,,24,10
jspwiki,2012,60.57626050420167,,22,13
jspwiki,2013,47.03298550724638,41.86918571428571,16,15
jspwiki,2014,40.655310679611645,40.655310679611645,31,20
jspwiki,2015,41.14530645161291,41.14530645161291,32,20
jspwiki,2016,41.30961538461539,41.30961538461539,19,13
jspwiki,2017,41.522673913043484,41.522673913043484,18,12
knox,2013,16.63723208191126,17.962180887372014,102,54
knox,2014,25.914440217391302,27.295853260869563,139,82
knox,2015,31.652170370370374,33.3194888888889,92,59
knox,2016,35.69079166666667,37.6946875,132,80
knox,2017,40.31694478527608,42.331134969325156,174,65
kylin,2015,48.19514117647059,48.19471764705883,564,14
kylin,2016,83.84290889370934,83.84290889370934,581,197
kylin,2017,97.07448744460856,97.07448744460856,404,129
lens,2014,21.998939622641508,25.19695433789954,80,43
lens,2015,43.056509727626455,43.02687159533074,251,80
lens,2016,54.84238650306748,54.79747852760736,163,62
